Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A860887,"8107 SPRINGDALE ROAD
AUSTIN 78724
(30.324971, -97.657308)",Yes (come to the shelter),07/05/2022,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860887
A861059,"ROBINWOOD CIRCLE
AUSTIN 78758",Yes (come to the shelter),07/07/2022,Dog,Cairn Terrier,Tan/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861059
A857071,"1101 EMMITT RUN
AUSTIN 78721
(30.257814, -97.686412)",Yes (come to the shelter),07/06/2022,Dog,Miniature Schnauzer/Miniature Poodle,White/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A857071
A860882,"1156 WEST CESAR
CHAVEZ AUSTIN 78703",Yes (come to the shelter),07/05/2022,Dog,Alaskan Husky,Chocolate/Tan,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A860882
A860895,"13345 INDIAN OAK BEND MANOR78653
(30.338732, -97.521293)",Yes (come to the shelter),07/05/2022,Dog,Australian Kelpie/Cardigan Welsh Corgi,Black/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A860895
A860909,JACOBSON78617,Yes (come to the shelter),07/05/2022,Dog,Belgian Malinois,Tan/Black,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860909
A861150,"2206 BLUE MEADOW DRIVE
AUSTIN 78744
(30.181372, -97.763751)",Yes (come to the shelter),07/08/2022,Cat,Domestic Shorthair Mix,Blue/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861150
A861159,"11927 SUNHILLOW
AUSTIN 78758
(30.399201, -97.701922)",Yes (come to the shelter),07/08/2022,Cat,Domestic Shorthair Mix,White/Black,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861159
A861155,35 AUSTIN78741,Yes (come to the shelter),07/08/2022,Dog,Australian Cattle Dog/Pit Bull,White/Brown,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861155
A861184,"863 AIRPORT BOULEVARD
AUSTIN 78702
(30.259187, -97.69359)",Yes (come to the shelter),07/08/2022,Dog,Chihuahua Shorthair,Black/Tan,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861184
A861156,35 AUSTIN78741,Yes (come to the shelter),07/08/2022,Dog,Australian Cattle Dog/Pit Bull,Blue/Tricolor,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861156
A861185,"863 AIRPORT BOULEVARD
AUSTIN 78702
(30.259187, -97.69359)",Yes (come to the shelter),07/08/2022,Dog,Chihuahua Shorthair,Black/Tan,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861185
A861060,"SPRINGDALE
AUSTIN 78721",Yes (come to the shelter),07/07/2022,Dog,Pit Bull,Brown Brindle/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861060
A861072,"2121 BURTON
AUSTIN 78741
(30.23196, -97.733065)",Yes (come to the shelter),07/07/2022,Cat,Domestic Shorthair,Orange Tabby,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861072
A860978,"2124 BURTON DR
AUSTIN 78741
(30.231695, -97.733358)",Yes (come to the shelter),07/06/2022,Dog,German Shepherd,Brown/Black,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860978
A861158,"2000 WEBBERWOOD DR78653
(30.217547, -97.49057)",Yes (come to the shelter),07/08/2022,Dog,German Shepherd Mix,Black/Brown,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861158
A861063,"5701 JOHNNY
MORRIS AUSTIN 78724",Yes (come to the shelter),07/07/2022,Dog,Great Pyrenees,White,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861063
A860257,"10107 RESEARCH BLVD
AUSTIN 78759
(30.39267, -97.745929)",Yes (come to the shelter),07/09/2022,Dog,Labrador Retriever Mix,Tan/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A860257
A789320,"BRAKER LANE
AUSTIN 78758",Yes (come to the shelter),07/07/2022,Dog,Pit Bull Mix,White/Black,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A789320
A861073,"2121 BURTON
AUSTIN 78741
(30.23196, -97.733065)",Yes (come to the shelter),07/07/2022,Cat,Domestic Shorthair,Torbie/White,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861073
